,age,sex,prob
1,0,Male,0.006081
2,1,Male,0.000425
3,2,Male,0.000260
4,3,Male,0.000194
5,4,Male,0.000154
6,5,Male,0.000142
7,6,Male,0.000135
8,7,Male,0.000127
9,8,Male,0.000116
10,9,Male,0.000104
11,10,Male,0.000097
12,11,Male,0.000106
13,12,Male,0.000144
14,13,Male,0.000220
15,14,Male,0.000323
16,15,Male,0.000437
17,16,Male,0.000552
18,17,Male,0.000675
19,18,Male,0.000806
20,19,Male,0.000939
21,20,Male,0.001079
22,21,Male,0.001215
23,22,Male,0.001327
24,23,Male,0.001406
25,24,Male,0.001461
26,25,Male,0.001507
27,26,Male,0.001557
28,27,Male,0.001610
29,28,Male,0.001668
30,29,Male,0.001732
31,30,Male,0.001795
32,31,Male,0.001858
33,32,Male,0.001923
34,33,Male,0.001992
35,34,Male,0.002064
36,35,Male,0.002145
37,36,Male,0.002231
38,37,Male,0.002316
39,38,Male,0.002398
40,39,Male,0.002482
41,40,Male,0.002580
42,41,Male,0.002697
43,42,Male,0.002828
44,43,Male,0.002976
45,44,Male,0.003146
46,45,Male,0.003340
47,46,Male,0.003567
48,47,Male,0.003833
49,48,Male,0.004143
50,49,Male,0.004499
51,50,Male,0.004890
52,51,Male,0.005321
53,52,Male,0.005810
54,53,Male,0.006363
55,54,Male,0.006973
56,55,Male,0.007629
57,56,Male,0.008322
58,57,Male,0.009049
59,58,Male,0.009806
60,59,Male,0.010595
61,60,Male,0.011452
62,61,Male,0.012358
63,62,Male,0.013255
64,63,Male,0.014126
65,64,Male,0.015006
66,65,Male,0.016001
67,66,Male,0.017124
68,67,Male,0.018298
69,68,Male,0.019519
70,69,Male,0.020847
71,70,Male,0.022381
72,71,Male,0.024185
73,72,Male,0.026266
74,73,Male,0.028660
75,74,Male,0.031401
76,75,Male,0.034618
77,76,Male,0.038263
78,77,Male,0.042190
79,78,Male,0.046367
80,79,Male,0.050948
81,80,Male,0.056237
82,81,Male,0.062360
83,82,Male,0.069226
84,83,Male,0.076884
85,84,Male,0.085452
86,85,Male,0.095062
87,86,Male,0.105829
88,87,Male,0.117838
89,88,Male,0.131138
90,89,Male,0.145751
91,90,Male,0.161678
92,91,Male,0.178905
93,92,Male,0.197408
94,93,Male,0.217149
95,94,Male,0.238080
96,95,Male,0.258821
97,96,Male,0.278966
98,97,Male,0.298092
99,98,Male,0.315762
100,99,Male,0.331550
101,100,Male,0.348128
102,101,Male,0.365534
103,102,Male,0.383811
104,103,Male,0.403001
105,104,Male,0.423151
106,105,Male,0.444309
107,106,Male,0.466524
108,107,Male,0.489851
109,108,Male,0.514343
110,109,Male,0.540060
111,110,Male,0.567063
112,111,Male,0.595417
113,112,Male,0.625187
114,113,Male,0.656447
115,114,Male,0.689269
116,115,Male,0.723732
117,116,Male,0.759919
118,117,Male,0.797915
119,118,Male,0.837811
120,119,Male,0.879701
121,0,Female,0.005046
122,1,Female,0.000349
123,2,Female,0.000212
124,3,Female,0.000166
125,4,Female,0.000137
126,5,Female,0.000122
127,6,Female,0.000111
128,7,Female,0.000103
129,8,Female,0.000098
130,9,Female,0.000095
131,10,Female,0.000095
132,11,Female,0.000102
133,12,Female,0.000116
134,13,Female,0.000139
135,14,Female,0.000170
136,15,Female,0.000204
137,16,Female,0.000240
138,17,Female,0.000278
139,18,Female,0.000319
140,19,Female,0.000360
141,20,Female,0.000405
142,21,Female,0.000451
143,22,Female,0.000491
144,23,Female,0.000523
145,24,Female,0.000549
146,25,Female,0.000574
147,26,Female,0.000604
148,27,Female,0.000642
149,28,Female,0.000690
150,29,Female,0.000748
151,30,Female,0.000810
152,31,Female,0.000871
153,32,Female,0.000931
154,33,Female,0.000988
155,34,Female,0.001044
156,35,Female,0.001105
157,36,Female,0.001171
158,37,Female,0.001235
159,38,Female,0.001295
160,39,Female,0.001356
161,40,Female,0.001422
162,41,Female,0.001501
163,42,Female,0.001596
164,43,Female,0.001709
165,44,Female,0.001841
166,45,Female,0.001989
167,46,Female,0.002153
168,47,Female,0.002333
169,48,Female,0.002530
170,49,Female,0.002746
171,50,Female,0.002981
172,51,Female,0.003241
173,52,Female,0.003530
174,53,Female,0.003853
175,54,Female,0.004208
176,55,Female,0.004591
177,56,Female,0.004997
178,57,Female,0.005426
179,58,Female,0.005876
180,59,Female,0.006348
181,60,Female,0.006883
182,61,Female,0.007457
183,62,Female,0.008010
184,63,Female,0.008520
185,64,Female,0.009031
186,65,Female,0.009617
187,66,Female,0.010328
188,67,Female,0.011167
189,68,Female,0.012158
190,69,Female,0.013312
191,70,Female,0.014673
192,71,Female,0.016221
193,72,Female,0.017905
194,73,Female,0.019714
195,74,Female,0.021714
196,75,Female,0.024080
197,76,Female,0.026831
198,77,Female,0.029855
199,78,Female,0.033151
200,79,Female,0.036829
201,80,Female,0.041122
202,81,Female,0.046102
203,82,Female,0.051683
204,83,Female,0.057896
205,84,Female,0.064863
206,85,Female,0.072731
207,86,Female,0.081626
208,87,Female,0.091644
209,88,Female,0.102840
210,89,Female,0.115236
211,90,Female,0.128837
212,91,Female,0.143633
213,92,Female,0.159606
214,93,Female,0.176731
215,94,Female,0.194973
216,95,Female,0.213413
217,96,Female,0.231752
218,97,Female,0.249663
219,98,Female,0.266801
220,99,Female,0.282809
221,100,Female,0.299778
222,101,Female,0.317765
223,102,Female,0.336830
224,103,Female,0.357040
225,104,Female,0.378463
226,105,Female,0.401170
227,106,Female,0.425241
228,107,Female,0.450755
229,108,Female,0.477800
230,109,Female,0.506468
231,110,Female,0.536857
232,111,Female,0.569068
233,112,Female,0.603212
234,113,Female,0.639405
235,114,Female,0.677769
236,115,Female,0.718435
237,116,Female,0.759919
238,117,Female,0.797915
239,118,Female,0.837811
240,119,Female,0.879701
